,handel,like,replay,retweet,time
0,@drsushant05,,,,2021-01-31T15:31:59.000Z
1,@DRM_Agra,,,,2021-01-31T15:32:04.000Z
2,@SanjayB91006865,,,,2021-01-31T15:32:03.000Z
3,@colravinderengr,,,,2021-01-31T15:32:02.000Z
4,@KalindeeA,,,,2021-01-31T15:32:02.000Z
5,@raghuveer_d,,,,2021-01-31T15:32:01.000Z
6,@Santosh_parte8,,,,2021-01-31T15:32:01.000Z
7,@feb5kntl,,,,2021-01-31T15:32:00.000Z
8,@Sikendr85,,,,2021-01-31T15:32:00.000Z
9,@murugaMRP,,,,2021-01-31T15:31:59.000Z
10,@BakulDa87428430,,,,2021-01-31T15:31:59.000Z
11,@ARPSIROHI,,,,2021-01-31T15:31:59.000Z
12,@drsushant05,,,,2021-01-31T15:31:59.000Z
13,@DRM_Agra,,,,2021-01-31T15:32:04.000Z
14,@SanjayB91006865,,,,2021-01-31T15:32:03.000Z
15,@colravinderengr,,,,2021-01-31T15:32:02.000Z
16,@KalindeeA,,,,2021-01-31T15:32:02.000Z
17,@raghuveer_d,,,,2021-01-31T15:32:01.000Z
18,@Santosh_parte8,,,,2021-01-31T15:32:01.000Z
19,@feb5kntl,,,,2021-01-31T15:32:00.000Z
20,@Sikendr85,,,,2021-01-31T15:32:00.000Z
21,@murugaMRP,,,,2021-01-31T15:31:59.000Z
22,@BakulDa87428430,,,,2021-01-31T15:31:59.000Z
23,@ARPSIROHI,,,,2021-01-31T15:31:59.000Z
24,@drsushant05,,,,2021-01-31T15:31:59.000Z
